,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.6187658309936523,0.7076271186440678,0.5162287480680062,0.7425373134328358,0.5969615728328865
1,model,test,0.5133556127548218,0.6100278551532033,0.33081570996978854,0.7388059701492538,0.42899118511263473
2,model,train,0.563758373260498,0.5687693898655636,0.8422664624808576,0.22634508348794063,0.6790123456790124
3,model,test,0.5924713611602783,0.5743183817062445,0.9790104947526237,0.12792792792792793,0.7239467849223946
4,model,train,0.5861160159111023,0.584,0.9954545454545455,0.02092050209205021,0.7361344537815125
5,model,test,0.5695986151695251,0.5641025641025641,0.9830508474576272,0.05555555555555555,0.7168539325842697
6,model,train,0.5684474110603333,0.5782312925170068,0.7786259541984732,0.3149171270718232,0.6636304489264802
7,model,test,0.5741056203842163,0.5873893805309734,0.8069908814589666,0.2771317829457364,0.679897567221511
8,model,train,0.569837212562561,0.5679012345679012,0.9817073170731707,0.0410958904109589,0.7195530726256982
9,model,test,0.5891132354736328,0.5894230769230769,0.9373088685015291,0.11958762886597939,0.7237308146399056
