,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.572273850440979,0.5622241835834069,0.9845440494590417,0.07462686567164178,0.7157303370786516
1,model,test,0.5559265613555908,0.5548986486486487,0.9924471299093656,0.016791044776119403,0.7118093174431203
2,model,train,0.5209731459617615,0.6084656084656085,0.35222052067381315,0.725417439703154,0.4461687681862269
3,model,test,0.5613747835159302,0.6478555304740407,0.4302848575712144,0.7189189189189189,0.5171171171171172
4,model,train,0.5878734588623047,0.5845881310894597,1.0,0.01882845188284519,0.737842370039128
5,model,test,0.5678907036781311,0.5625546806649169,0.9907550077041603,0.0421455938697318,0.7176339285714286
6,model,train,0.5717862844467163,0.5814220183486238,0.7740458015267175,0.3278084714548803,0.6640471512770137
7,model,test,0.5749574303627014,0.5888268156424581,0.8009118541033434,0.2868217054263566,0.678686413393432
8,model,train,0.5672665238380432,0.5658238884045336,0.989329268292683,0.025440313111545987,0.7199112590127565
9,model,test,0.5856013894081116,0.5848880597014925,0.9587155963302753,0.08247422680412371,0.7265353418308227
10,model,train,0.5937219858169556,0.5904499540863177,0.9892307692307692,0.04086021505376344,0.7395054629097183
11,model,test,0.5778341889381409,0.5709342560553633,0.995475113122172,0.04431599229287091,0.7256734469488729
